old_file_path,new_file_path,commit_SHA,parent_commit_SHA,commit_message,diff_histogram,old_file_MCC,new_file_MCC
README.md,README.md,d7731448542a55a35fef9b0519b63347a0800a1a,a448d4dd57f07ae1d24dab54ccce93ee5434a42f,add Tamu api link,"diff --git a/README.md b/README.md
index 3fe3f91..258aba0 100644
--- a/README.md
+++ b/README.md
@@ -192,3 +192,4 @@ Please feel free to give any feedback on this module. If you find any bugs or an
 [CanadaPost]: http://geocoder.readthedocs.org/providers/CanadaPost.html
 [GeoNames]: http://geocoder.readthedocs.org/providers/GeoNames.html
 [IPInfo]: http://geocoder.readthedocs.org/providers/IPInfo.html
+[Tamu]: http://geoservices.tamu.edu/Services/Geocode/WebService/",0,0
geocoder/tamu.py,tamu.py,a372c846d7d921a8c3ba2f8fd108339557118562,d7731448542a55a35fef9b0519b63347a0800a1a,pep8,,57,57
geocoder/tamu.py,tamu.py,98585e90d617fdf6d1aecff38e535a33ad3995c9,a372c846d7d921a8c3ba2f8fd108339557118562,pep8,,57,57
tests/test_geocoder.py,test_geocoder.py,a725d0d1db554256a92d71c5916406968e90bf67,d40d2160b246a7cff24785eef7e2576460fd764f,Remove FreeGeoIP from testing,,29,28
geocoder/tamu.py,tamu.py,a491da35e8c46561adf8db8fa2823990421d0cd7,a725d0d1db554256a92d71c5916406968e90bf67,"Code refactoring
- Added _exceptions for `self.parse`
- Cleaned up @property functions

@ac6y Have a look at these edits, it makes the code a LOT cleaner! :)",,57,39
geocoder/tamu.py,tamu.py,5c591907de69307b208ce4c8ea2369fee81b4578,a491da35e8c46561adf8db8fa2823990421d0cd7,"Remove sensitive string formating
@ac6y Works just fine without the sensitive string formating

It could of been the true/false that should of been in String instead of Boolean",,39,39
geocoder/__init__.py,__init__.py,00a9d09e83ca3ee77d56a795f88d8d464c9c1063,5c591907de69307b208ce4c8ea2369fee81b4578,"Version change
- Added Tamu provider",,0,0
geocoder/tamu.py,tamu.py,4fc5f50152a42f42f5e95b4558984ea4290a9526,00a9d09e83ca3ee77d56a795f88d8d464c9c1063,add censusYears param with default tuple,,39,39
geocoder/tamu.py,tamu.py,66ddf149d21fa9051aa91477b17c116bb5c24b4e,4fc5f50152a42f42f5e95b4558984ea4290a9526,"rm redundant if clause
@DenisCarriere I *think* it was redundant. I'm a little hazy when we want to be using self.parse[] subscripting vs self.parse.get().",,39,38
geocoder/tamu.py,tamu.py,0610a60d4295003cb767f6e78bb4dd1ad2582879,66ddf149d21fa9051aa91477b17c116bb5c24b4e,use ReferenceFeature instead of MatchedAddress,,38,38
geocoder/tamu.py,tamu.py,6f42f1d1f6d910efe2127e021a2e782a9a25f2f5,0610a60d4295003cb767f6e78bb4dd1ad2582879,can just strip() if suffix is empty string,,38,37
geocoder/tamu.py,tamu.py,3ea714be79521a8042e354ef9c0e848b7199ac50,6f42f1d1f6d910efe2127e021a2e782a9a25f2f5,rm explicit key from tests; @DenisCarrier thx for adding the env var to Travis,,37,37
tests/test_geocoder.py,test_geocoder.py,3ea714be79521a8042e354ef9c0e848b7199ac50,6f42f1d1f6d910efe2127e021a2e782a9a25f2f5,rm explicit key from tests; @DenisCarrier thx for adding the env var to Travis,,28,28
geocoder/tamu.py,tamu.py,d0af7736d91acdb8bc1b7da92647ce7dd4375e8c,3ea714be79521a8042e354ef9c0e848b7199ac50,"make pep8 happy
@DenisCarrier not sure if you prefer to break long url or use #noqa?",,37,37
tests/test_geocoder.py,test_geocoder.py,59eded80e92f0855a3bb176fb39376f73bd0a9a6,d0af7736d91acdb8bc1b7da92647ce7dd4375e8c,pep8,,28,28
geocoder/tamu.py,tamu.py,1067438b65f40e333a820caaf1ab3bb64574b087,59eded80e92f0855a3bb176fb39376f73bd0a9a6,"build address property from tree, not self",,37,37
geocoder/tamu.py,tamu.py,b4b5b9f49fc1e477c53e2f9dcf55cc01a37cf280,1067438b65f40e333a820caaf1ab3bb64574b087,default '' for address items,,37,37
geocoder/tamu.py,tamu.py,f0bb79cf44dba608c92a3510ddf0dd618eb9507e,b4b5b9f49fc1e477c53e2f9dcf55cc01a37cf280,self.key used in line 78 for error msg,,37,37
geocoder/tamu.py,tamu.py,af20cbfd6b53b00f6bf2b5d01f532f33fa5f954a,f0bb79cf44dba608c92a3510ddf0dd618eb9507e,pep8,,37,37
geocoder/tamu.py,tamu.py,c79dce3840bb06f525ed5ed0a7e572bdc8abfd23,00a9d09e83ca3ee77d56a795f88d8d464c9c1063,Pep8 issues,,39,39
geocoder/tamu.py,tamu.py,73adb09d283595bc14d738a800a54ba6da776dab,d2ebd89fe99b67e1ae92c4cd5503cb29804dc444,Remove HEAD conflict,,37,37
geocoder/__init__.py,__init__.py,a004faef9a83683168eaa62da9ba3392c6893cf8,73adb09d283595bc14d738a800a54ba6da776dab,Minor version change,,0,0
